㐀	~[FFE;][RE;][REE;][YZE;]
𩫛	~[LNOJ;][LONJ;][QJJ;]
𩫜	~[LHNR;][LNOR;][LONR;][QQR;]
𩫝	~[LHNG;][LNOG;][LONG;][QPG;][QPQG;]
𩫞	~[LHNQ;][LNOQ;][LONQ;][QCEQ;][QEQ;]
𩫟	~[LHNY;][LNOY;][LONY;][QCSY;][QCY;]
𩫠	~[LHOJ;][LOOJ;]
𩫡	~[LHNE;][LNOE;][LONE;][QTEE;]
𩫢	~[LHNB;][LNOB;][LONB;][QIMB;]
𩫣	~[LHNB;][LNOB;][LONB;][QOMB;]
𩫤	~[LHNT;][LNOT;][LONT;][QCST;][QCT;]
𩫥	~[SQTO;][SQTQ;]
𩫦	~[LHNM;][LNOM;][LONM;][QUM;][QUUM;]
𩫧	~[LHOE;][LOOE;]
𩫨	~[LHOA;][LHON;][LOOA;][LOON;][LOOY;]
𩫩	~[LHOC;][LHOL;][LOOC;][LOOL;]
𩫪	~[LHNG;][LNOG;][LONG;][QOJG;]
𩫫	~[LHOG;][LOOG;]
𩫬	~[LHNR;][LNOR;][LONR;][QPMR;][QPQR;]
𩫭	~[LHOD;][LHOH;][LOOD;][LOOH;]
𩫮	~[LHOG;][LOOG;]
𩫯	~[LHOA;][LOOA;]
𩫰	~[LHOG;][LOOG;]
𩫱	~[LHOQ;][LOOQ;]
𩫲	~[LNOC;][LONC;][QCCC;]
𩫳	~[OPOO;][OPOQ;][TMBO;][TMBQ;][TOPO;][TOPQ;]
𩫴	~[VKL;][VKX;][VKZ;]
𩫵	~[VBA;][VBN;]
𩫶	~[VWI;]
𩫷	~[VCL;][VFL;]
𩫸	~[VDX;][VDY;]
𩫹	~[VNI;][VNJ;]
𩫺	~[VEI;]
𩫻	~[VFL;]
𩫼	~[VRA;][VZX;]
𩫽	~[VYE;]
𩫾	~[VBI;][VYI;]
𩫿	~[VEN;][VTN;]
𩬀	~[VNB;]
𩬁	~[VXX;]
𩬂	~[EUMZ;][VZN;]
𩬃	~[VXX;]
𩬄	~[VZN;]
𩬅	~[VNAE;][VNL;]
𩬆	~[VFK;]
𩬇	~[VAD;]
𩬈	~[VBL;]
𩬉	~[VBD;]
𩬊	~[VFN;]
𩬋	~[VUJ;]
𩬌	~[VUR;]
𩬍	~[VOJ;][VOM;][VOX;]
𩬎	~[VKE;]
𩬏	~[VUE;]
𩬐	~[VEI;][VEN;]
𩬑	~[VZO;]
𩬒	~[VNN;]
𩬓	~[VVN;]
𩬔	~[VAP;][VAT;]
𩬕	~[VAQP;]
𩬖	~[VBM;]
𩬗	~[VWD;]
𩬘	~[VNS;][VVS;]
𩬙	~[VPA;]
𩬚	~[VGO;]
𩬛	~[VIR;]
𩬜	~[VCK;]
𩬝	~[VEN;][VENB;][VTNB;]
𩬞	~[VMO;]
𩬟	~[VVF;]
𩬠	~[VUO;]
𩬡	~[VKE;][VPO;]
𩬢	~[VEE;][VEU;]
𩬣	~[VSI;][VUI;][VYNI;]
𩬤	~[VAKP;][VAXF;]
𩬥	~[VMJ;][VNNE;]
𩬦	~[VLE;]
𩬧	~[VEZ;]
𩬨	~[VYU;]
𩬩	~[VJO;]
𩬪	~[VBZ;][VPAZ;][VPZ;]
𩬫	~[VOB;]
𩬬	~[EUMF;][EUMV;][VFE;]
𩬭	~[VSN;]
𩬮	~[VNQ;]
𩬯	~[VBS;]
𩬰	~[VIRA;][VIRE;][VIZ;][VIZX;]
𩬱	~[VRA;][VRBB;]
𩬲	~[VIQX;][VIX;]
𩬳	~[VNBB;]
𩬴	~[VBJ;][VPJ;]
𩬵	~[VEP;]
𩬶	~[VEJ;]
𩬷	~[VSE;]
𩬸	~[VBE;][VBEE;]
𩬹	~[VFK;]
𩬺	~[VFD;]
𩬻	~[VRT;]
𩬼	~[VOC;][VOP;][VOQ;]
𩬽	~[VMT;][VTT;][VZB;]
𩬾	~[VBE;][VBEE;][VBO;][VEFE;][VOE;]
𩬿	~[VLK;]
𩭀	~[VXE;][VXU;]
𩭁	~[VSS;]
𩭂	~[VSER;]
𩭃	~[VCA;]
𩭄	~[VMN;]
𩭅	~[VEE;]
𩭆	~[VAO;]
𩭇	~[VQE;]
𩭈	~[VTM;]
𩭉	~[VXXN;]
𩭊	~[VCYO;][VONO;]
𩭋	~[VOT;]
𩭌	~[VGN;]
𩭍	~[VBO;]
𩭎	~[VEEN;][VEEY;][VEF;][VEK;][VEN;][VEV;]
𩭏	~[VEG;]
𩭐	~[VEQ;]
𩭑	~[VYF;]
𩭒	~[VAKM;]
𩭓	~[VEO;]
𩭔	~[VMIF;]
𩭕	~[VNUR;]
𩭖	~[VTO;]
𩭗	~[VAJQ;][VIJ;]
𩭘	~[VTU;]
𩭙	~[VESI;][VSI;]
𩭚	~[VOT;]
𩭛	~[VNE;][VNJ;]
𩭜	~[VOI;]
𩭝	~[VIX;]
𩭞	~[VEW;]
𩭟	~[VQJ;][VZDJ;]
𩭠	~[VFU;]
𩭡	~[VRD;]
𩭢	~[VELG;]
𩭣	~[VWD;]
𩭤	~[VBUH;]
𩭥	~[VDG;][VNG;]
𩭦	~[VGE;][VGJY;][VGRY;]
𩭧	~[VPG;][VPQG;]
𩭨	~[VEK;][VKN;]
𩭩	~[VCS;][VJQS;]
𩭪	~[VCEE;][VCEU;]
𩭫	~[VEB;][VENB;][VTNB;]
𩭬	~[VMIV;]
𩭭	~[VDB;]
𩭮	~[VAYH;]
𩭯	~[VOE;]
𩭰	~[VTD;]
𩭱	~[VED;]
𩭲	~[VDA;][VPDA;]
𩭳	~[VNMH;]
𩭴	~[DNRI;][VNBI;][VNRI;]
𩭵	~[VNB;]
𩭶	~[VWIQ;]
𩭷	~[VLN;]
𩭸	~[VBO;][VTO;]
𩭹	~[VUDM;][VUM;]
𩭺	~[VEOQ;]
𩭻	~[VDBD;]
𩭼	~[VPOT;]
𩭽	~[VNPO;]
𩭾	~[VMP;]
𩭿	~[VFFU;]
𩮀	~[VNQH;]
𩮁	~[VFDD;][VHDD;]
𩮂	~[VDL;][VDNB;][VDNL;]
𩮃	~[VNBU;]
𩮄	~[VHM;]
𩮅	~[VDCC;]
𩮆	~[VMBR;]
𩮇	~[VNBF;][VNRF;]
𩮈	~[VBE;]
𩮉	~[VLMX;][VMLX;]
𩮊	~[EUMQ;][MNBQ;]
𩮋	~[VLD;]
𩮌	~[VTM;]
𩮍	~[VXN;]
𩮎	~[VTDE;]
𩮏	~[VAQO;][VKO;]
𩮐	~[VQNU;]
𩮑	~[VQO;]
𩮒	~[VFF;]
𩮓	~[VNBQ;]
𩮔	~[VNC;]
𩮕	~[VPEU;][VPR;]
𩮖	~[VED;]
𩮗	~[VLL;]
𩮘	~[VLHO;][VLNO;][VLOO;][VQO;]
𩮙	~[VRR;]
𩮚	~[VUAC;][VUBC;]
𩮛	~[VJNS;]
𩮜	~[VDNR;][VER;]
𩮝	~[VNFO;][VNHO;]
𩮞	~[VQQ;]
𩮟	~[VGCB;][VGOB;]
𩮠	~[VNBO;][VNW;]
𩮡	~[VNEQ;][VNRQ;]
𩮢	~[VCY;][VEBY;][VEOY;][VERY;][VOY;]
𩮣	~[VZZ;]
𩮤	~[VMA;][VMAU;]
𩮥	~[VDBW;]
𩮦	~[VBBU;][VBFU;][VBRU;][VFBU;][VRBU;][VWBU;]
𩮧	~[VUUT;]
𩮨	~[VCE;][VYUF;]
𩮩	~[VADO;]
𩮪	~[VFH;][VORH;]
𩮫	~[VXTU;]
𩮬	~[VBUE;]
𩮭	~[VPBN;]
𩮮	~[VWF;]
𩮯	~[VFYP;][VHNP;][VYFP;]
𩮰	~[VOQH;][VPA;][VPOH;]
𩮱	~[VFNG;]
𩮲	~[VLLS;][VLPS;][VWLS;]
𩮳	~[VCRS;]
𩮴	~[VEV;]
𩮵	~[FVDV;]
𩮶	~[VJCI;][VVSI;]
𩮷	~[VFPR;][VPDR;]
𩮸	~[VJCP;][VVSP;]
𩮹	~[VQS;]
𩮺	~[VDFD;][VDFF;]
𩮻	~[VNBS;]
𩮼	~[VMPD;]
𩮽	~[VRC;]
𩮾	~[VFVU;]
𩮿	~[VYA;][VYBA;][VYBX;][VYBZ;][VYX;][VYZ;]
𩯀	~[VJCW;][VVSW;]
𩯁	~[VMG;]
𩯂	~[VDL;][VDUK;]
𩯃	~[VVMB;]
𩯄	~[VBEA;]
𩯅	~[VNEQ;]
𩯆	~[VYR;][VYYR;]
𩯇	~[VBE;][VJD;]
𩯈	~[VLAD;][VLDQ;]
𩯉	~[VDEU;][VDRU;]
𩯊	~[VDBS;][VLA;]
𩯋	~[VJAQ;][VJDQ;]
𩯌	~[VFQU;][VFX;][VJQU;]
𩯍	~[VJRU;][VRRU;][VYRU;]
𩯎	~[VAF;][VAQF;]
𩯏	~[VFB;][VFEB;][VFED;][VVN;]
𩯐	~[VRED;]
𩯑	~[VUF;][VUH;][VUUF;][VUUH;]
𩯒	~[VQNB;]
𩯓	~[VSNQ;]
𩯔	~[VNCM;]
𩯕	~[VYZS;]
𩯖	~[VTNS;]
𩯗	~[VQF;]
𩯘	~[VEDO;][VGNO;][VGO;][VPDO;]
𩯙	~[VFQ;][VPFQ;]
𩯚	~[VBXU;]
𩯛	~[VPDP;]
𩯜	~[VZQD;]
𩯝	~[VRD;][VRDB;][VRDL;]
𩯞	~[VZCM;]
𩯟	~[VLT;][VOOT;]
𩯠	~[VPDO;]
𩯡	~[VGS;]
𩯢	~[VADH;][VADM;][VBTM;][VHO;]
𩯣	~[VUXP;][VXFP;]
𩯤	~[VLOE;][VLOM;]
𩯥	~[VFNF;]
𩯦	~[VJYA;][VYYA;]
𩯧	~[VCRA;]
𩯨	~[VRX;]
𩯩	~[VAQR;]
𩯪	~[VSNB;]
𩯫	~[EUMB;][VNCB;]
𩯬	~[VEQQ;][VUQQ;]
𩯭	~[VNCB;][VNSB;]
𩯮	~[VMP;][VWRB;]
𩯯	~[VDCR;][VEE;][VNCR;]
𩯰	~[VSVQ;]
𩯱	~[VDRW;]
𩯲	~[VFNH;]
𩯳	~[VQNB;]
𩯴	~[VFYK;]
𩯵	~[VBLH;]
𩯶	~[VJAE;]
𩯷	~[VEVQ;]
𩯸	~[VPBI;]
𩯹	~[VLOO;]
𩯺	~[VLHZ;]
𩯻	~[VNBR;][VNXR;]
𩯼	~[VRFM;]
𩯽	~[VJCB;][VVSB;]
𩯾	~[VDDE;][VDDU;]
𩯿	~[VBEB;][VEBB;][VGBB;]
𩰀	~[VAL;][VLUL;]
𩰁	~[VBBE;]
𩰂	~[VUOO;]
𩰃	~[VNOA;][VNOE;][VNOR;]
𩰄	~[VWNB;]
𩰅	~[VRAR;]
𩰆	~[VOOR;][VORR;]
𩰇	~[VBEU;][VBTU;][VHDU;]
𩰈	~[VXYR;]
𩰉	~[VJCK;][VVNK;]
𩰊	~[KII;]
𩰋	~[IKE;][KII;]
𩰌	~[DVZ;]
𩰍	~[DAF;][DLP;]
𩰎	~[DAQ;]
𩰏	~[DBD;]
𩰐	~[DBS;]
𩰑	~[DXE;][DXU;]
𩰒	~[DDE;]
𩰓	~[DHL;][DRBL;][DRBP;]
𩰔	~[DAE;]
𩰕	~[BDGR;]
𩰖	~[DDK;]
𩰗	~[DGMB;][DLMB;][DSMB;]
𩰘	~[DNQL;][DUIL;][DUQL;]
𩰙	~[DAOE;]
𩰚	~[DOK;]
𩰛	~[DYDU;]
𩰜	~[DEQF;]
𩰝	~[DNSB;]
𩰞	~[DRX;]
𩰟	~[DEQF;]
𩰠	~[UXFZ;][XFUZ;]
𩰡	~[UXFC;][UXFX;][XFUC;]
𩰢	~[UXFC;][UXFX;][XFUC;][XFUX;]
𩰣	~[ENUU;][ENXU;]
𩰤	~[VDFC;][VDFF;]
𩰥	~[EFUU;][EFXU;]
𩰦	~[TFUU;][TFXU;]
𩰧	~[TCXM;][TFPM;][TFXM;]
𩰨	~[ECOA;]
𩰩	~[TWTA;]
𩰪	~[GWUM;][WUEM;][WUGM;]
𩰫	~[EONS;]
𩰬	~[EOST;]
𩰭	~[EONQ;]
𩰮	~[EOND;]
𩰯	~[EONO;]
𩰰	~[EONI;]
𩰱	~[BHET;][BKET;]
𩰲	~[QQET;]
𩰳	~[EONY;]
𩰴	~[EONR;]
𩰵	~[EONE;]
𩰶	~[EONH;]
𩰷	~[EONR;]
𩰸	~[EONE;]
𩰹	~[EONI;]
𩰺	~[EONH;][EONP;]
𩰻	~[EONN;][EONW;]
𩰼	~[EONU;]
𩰽	~[EHNH;][EHNP;][RHNH;][RHNP;]
𩰾	~[WVET;]
𩰿	~[QNQT;]
𩱀	~[RYBT;][RYRT;]
𩱁	~[BHNT;][BKBT;]
𩱂	~[EONE;]
𩱃	~[EONW;]
𩱄	~[EOND;]
𩱅	~[XUBT;][XURT;]
𩱆	~[QGQT;]
𩱇	~[EONT;]
𩱈	~[EONE;]
𩱉	~[EONA;][EONE;]
𩱊	~[EONF;]
𩱋	~[BKFT;]
𩱌	~[QAKT;][QHQT;]
𩱍	~[JOQT;][QJOT;]
𩱎	~[QVQT;]
𩱏	~[HNPT;][YFPT;]
𩱐	~[EONO;][EONX;]
𩱑	~[GEAT;][GNBT;][GUAT;]
𩱒	~[QJOQ;]
𩱓	~[QRQT;]
𩱔	~[LHHT;]
𩱕	~[SRST;]
𩱖	~[QJCT;][QVST;]
𩱗	~[QEQT;]
𩱘	~[EONK;]
𩱙	~[MTST;]
𩱚	~[JNZT;][QJNT;]
𩱛	~[EONP;]
𩱜	~[QFKT;]
𩱝	~[EONK;]
𩱞	~[QYPT;]
𩱟	~[QVOT;]
𩱠	~[KKEQ;][QKKQ;]
𩱡	~[POST;][QPOT;]
𩱢	~[VOMT;][VOXT;]
𩱣	~[QWVT;]
𩱤	~[QEWT;]
𩱥	~[QUUT;]
𩱦	~[QNET;]
𩱧	~[QBKT;]
𩱨	~[QFKT;]
𩱩	~[SRST;]
𩱪	~[QDET;][QDTT;][QMET;]
𩱫	~[JCST;][QJCT;][QVST;][VSWT;]
𩱬	~[ETTT;][GTTT;][TTET;][TTGT;]
𩱭	~[QBQT;]
𩱮	~[QWFT;]
𩱯	~[QMTT;]
𩱰	~[QHQT;][QHWT;][QYPT;]
𩱱	~[QVOT;]
𩱲	~[QEET;]
𩱳	~[QWHT;][WHQT;]
𩱴	~[OOTT;][TMBT;][TOOT;]
𩱵	~[MRFT;]
𩱶	~[QUVT;]
𩱷	~[QMRT;]
𩱸	~[MRFQ;]
𩱹	~[PQRD;][PRUD;][VDX;][VDY;]
𩱺	~[PQRP;][PRUP;][VPI;]
𩱻	~[PQRP;][PRUP;][VPA;]
𩱼	~[KPQU;][KPUR;][KVA;]
𩱽	~[ERPU;][ERV;]
𩱾	~[GPQU;][GPRU;][GVA;]
𩱿	~[FPQU;][FPRU;][FVA;]
𩲀	~[PQRE;][PRUE;][VEI;]
𩲁	~[PQRC;][PRUC;][VCA;]
𩲂	~[PQRA;][PQRP;][PRUA;][PRUP;][VPA;]
𩲃	~[PQRA;][PRUA;][VNA;]
𩲄	~[KPQU;][KPRU;][KVA;]
𩲅	~[PQRA;][PRUA;][VAA;]
𩲆	~[PQRM;][PRM;][VMP;]
𩲇	~[PQRZ;][PRZ;][VZJ;]
𩲈	~[PQRE;][PRUE;][VEI;]
𩲉	~[FPQU;][FPRU;][FVA;]
𩲊	~[PQRM;][PRUM;][VML;]
𩲋	~[LRPU;][LRV;]
𩲌	~[FPQU;][FPRU;][FVA;]
𩲍	~[PQRS;][PRUS;][VSJ;]
𩲎	~[PQRS;][PRUS;][VSP;]
𩲏	~[PFPU;][PFV;]
𩲐	~[PQRM;][PRUM;][VNM;]
𩲑	~[PQRT;][PRUT;][VTA;]
𩲒	~[PDRK;][VEK;][VRK;]
𩲓	~[PQRD;][PQRN;][VGN;][VPD;]
𩲔	~[PQRJ;][PQRK;][PRUJ;][PRUK;][VKJ;][VLJ;]
𩲕	~[PQRF;][PRUF;][VFN;]
𩲖	~[BPQU;][BPRU;][BVA;]
𩲗	~[PQRF;][PRUF;][VFJ;]
𩲘	~[YPPU;][YPV;]
𩲙	~[PQRT;][PRUT;][VTN;]
𩲚	~[BPQU;][BPRU;][BVA;][ESPU;][ESV;][TBV;]
𩲛	~[NUPU;][NUV;]
𩲜	~[PFPU;][PFV;]
𩲝	~[PQRD;][PRUD;][VBD;]
𩲞	~[PQRU;][PRUU;][VUE;]
𩲟	~[PQRI;][VIN;]
𩲠	~[PQRF;][VFY;]
𩲡	~[RSPU;][RSV;]
𩲢	~[PQRP;][PRUP;][VPX;]
𩲣	~[QIPU;][QIV;]
𩲤	~[PQRO;][VDO;]
𩲥	~[PQRO;][PRUO;][VUO;]
𩲦	~[PQRO;][PRUO;][VZO;]
𩲧	~[IRPU;][IRV;]
𩲨	~[ZFPU;][ZFV;]
𩲩	~[PQRP;][PQRT;][PRUP;][PRUT;][VAP;][VAT;]
𩲪	~[PQRS;][PRUS;][VNS;][VVS;]
𩲫	~[SNPU;][SNV;]
𩲬	~[PQRM;][PRUM;][VENM;][VKM;][VVM;]
𩲭	~[PQRJ;][VAXJ;][VAXX;]
𩲮	~[PQRF;][PRUF;][VNF;]
𩲯	~[PQRB;][PRUB;][VBJ;]
𩲰	~[FOPU;][FOV;]
𩲱	~[PQRO;][VJO;]
𩲲	~[PQRM;][VME;]
𩲳	~[PQRI;][PRUI;][VQI;]
𩲴	~[PQRC;][VCN;]
𩲵	~[PQRS;][VSE;]
𩲶	~[VDPU;][VDV;]
𩲷	~[PQRH;][VHN;]
𩲸	~[PDPU;][PDV;]
𩲹	~[PQRB;][PRUB;][VFB;]
𩲺	~[PQRT;][VXT;]
𩲻	~[PQRX;][PRUX;][VLX;]
𩲼	~[PQRZ;][PRUZ;][VZL;]
𩲽	~[PQRR;][PRUR;][VRJ;]
𩲾	~[XPQU;][XPRU;][XUPU;][XUV;][XVA;]
𩲿	~[PQRD;][PRUD;][VSD;]
𩳀	~[PQRP;][PRUP;][VPE;]
𩳁	~[SERU;][SERV;]
𩳂	~[PQRR;][PRUR;][VKR;]
𩳃	~[XTPU;][XTV;]
𩳄	~[FPQU;][FPRU;][FVA;][RFPU;][RFV;][RORU;][RORV;]
𩳅	~[PQRB;][PQRS;][PRUB;][PRUS;][VSB;][VSS;]
𩳆	~[PQRL;][PRUL;][VLN;]
𩳇	~[PQRU;][PRUU;][VPRU;]
𩳈	~[PMPU;][PMV;][PPQU;][PPRU;][PVA;]
𩳉	~[PQRZ;][PRUZ;][VZA;]
𩳊	~[PQRO;][VCO;]
𩳋	~[PQRO;][PRUO;][VAO;]
𩳌	~[PQRO;][PRUO;][VWO;]
𩳍	~[PQRI;][PRUI;][VESI;][VSI;][VUI;]
𩳎	~[PQRZ;][PRUZ;][VEZ;][VUZ;]
𩳏	~[EQPU;][EQV;][UQPU;][UQV;]
𩳐	~[PQRI;][PQRQ;][PRUI;][PRUQ;][VAJQ;][VIJ;]
𩳑	~[PQRS;][PRUS;][VWS;]
𩳒	~[PQRS;][PRUS;][VJCS;][VVS;]
𩳓	~[PQRQ;][PRUQ;][VQE;]
𩳔	~[XXZU;][XXZV;][YPZU;][YPZV;]
𩳕	~[PQRG;][PRUG;][VEG;]
𩳖	~[PQRB;][PRUB;][VMB;]
𩳗	~[PQRB;][PQRS;][PRUB;][PRUS;][VUQB;][VUYS;]
𩳘	~[PQRT;][PRUT;][VXAT;][VXT;]
𩳙	~[XATU;][XATV;][XTPU;][XTV;]
𩳚	~[PQRR;][PRUR;][VNRR;]
𩳛	~[PQRC;][PRUC;][VCJ;]
𩳜	~[PQRE;][PRUE;][VEO;]
𩳝	~[GNOU;][GNOV;][PDOU;][PDOV;]
𩳞	~[PQRN;][PQRW;][VAJW;][VNA;]
𩳟	~[PQRQ;][PRUQ;][VEQ;]
𩳠	~[AQWU;][AQWV;]
𩳡	~[PQRA;][PRUA;][VEA;][VUA;]
𩳢	~[PQRL;][PQRX;][PRUL;][PRUX;][VDIL;][VDQL;][VXL;]
𩳣	~[PQRO;][PQRV;][PRUO;][PRUV;][VDTO;][VVO;]
𩳤	~[PQRK;][PRUK;][VEK;][VKN;]
𩳥	~[EQAU;][EQAV;][EQPU;][EQV;]
𩳦	~[PQRO;][PRUO;][VVDO;]
𩳧	~[UPQU;][UPRU;][UVA;]
𩳨	~[PQRA;][PRUA;][VZOA;]
𩳩	~[PQRD;][PQRN;][PRUD;][PRUN;][VHD;][VHNN;][VHNP;]
𩳪	~[PQRX;][PRUX;][VDX;]
𩳫	~[PQRM;][VUM;]
𩳬	~[BXUU;][BXUV;]
𩳭	~[PQRU;][PRUU;][VCU;]
𩳮	~[EBPU;][EBV;][ENBU;][ENBV;][TNBU;][TNBV;]
𩳯	~[PQRM;][PRUM;][VKM;]
𩳰	~[PQRB;][PRUB;][VZB;]
𩳱	~[PQRE;][PQRG;][PQRI;][PRUE;][PRUG;][PRUI;][VEIE;][VGI;][VIEE;][VIG;]
𩳲	~[PQRC;][PRUC;][VPCC;]
𩳳	~[PQRL;][VLN;]
𩳴	~[PQRP;][VYYP;]
𩳵	~[PQRD;][PRUD;][VMAD;]
𩳶	~[STPU;][STV;]
𩳷	~[PQRS;][PQRW;][PRUS;][PRUW;][VWJ;][VWOS;]
𩳸	~[PQRQ;][PRUQ;][VRQ;]
𩳹	~[PQRW;][PRUW;][VCW;]
𩳺	~[DFOU;][DFOV;]
𩳻	~[PQRR;][VQBR;]
𩳼	~[NPOU;][NPOV;]
𩳽	~[FNDU;][FNDV;]
𩳾	~[PQRH;][PQRO;][PRUH;][PRUO;][VTOH;][VTOO;]
𩳿	~[FFUU;][FFUV;]
𩴀	~[PQRD;][PQRH;][PRUD;][PRUH;][VHO;][VYD;][VYPD;]
𩴁	~[PQRK;][PQRO;][VAQO;][VKO;]
𩴂	~[PQRQ;][VGQ;]
𩴃	~[PQRH;][PRUH;][VNEH;]
𩴄	~[PQRM;][VFM;]
𩴅	~[PQRD;][VFDD;][VHDD;]
𩴆	~[WPQU;][WPRU;][WVA;][WWAV;][WWQU;][WWQV;]
𩴇	~[PQRU;][PRUU;][VXAU;][VXTU;]
𩴈	~[MQBU;][MQBV;][MYSU;][MYSV;]
𩴉	~[PQRB;][PRUB;][VOMB;]
𩴊	~[PQRT;][PRUT;][VRBT;]
𩴋	~[PQRE;][PRUE;][VEIE;][VEKE;][VELE;][VEZE;]
𩴌	~[PQRF;][VRF;][VRVF;]
𩴍	~[PQRU;][PRUU;][VGIU;][VGU;][VIGU;]
𩴎	~[PQRU;][PRUU;][VBBU;][VBFU;][VBRU;][VFBU;][VRBU;][VWBU;]
𩴏	~[BNDU;][BNDV;]
𩴐	~[PQRJ;][PRUJ;][VLBJ;][VLJ;][VLWJ;]
𩴑	~[PQRM;][PRUM;][VUM;][VUUM;]
𩴒	~[QOCU;][QOCV;][QUCU;][QUCV;]
𩴓	~[PQRC;][PRUC;][VRC;]
𩴔	~[PQRQ;][PRUQ;][VLEQ;]
𩴕	~[CKPU;][CKV;]
𩴖	~[BNMU;][BNMV;]
𩴗	~[PQRC;][VRC;]
𩴘	~[PQRR;][PRUR;][VZPR;]
𩴙	~[PQRN;][PQRT;][PRUN;][PRUT;][VWN;][VWNT;]
𩴚	~[PQRS;][VWHS;][VWRS;]
𩴛	~[ZKEU;][ZKEV;][ZPOU;][ZPOV;]
𩴜	~[PQRB;][PRUB;][VQRB;]
𩴝	~[PQRB;][PQRD;][PRUB;][PRUD;][VBE;][VJD;]
𩴞	~[PQRF;][PRUF;][VBWF;][VEWF;]
𩴟	~[DHPU;][DHV;][DYPU;][DYPV;]
𩴠	~[PQRC;][PQRS;][PRUC;][PRUS;][VMC;][VMCS;]
𩴡	~[PQRV;][PRUV;][VFV;]
𩴢	~[MNBU;][MNBV;][MNRU;][MNRV;]
𩴣	~[LHHU;][LHHV;]
𩴤	~[PQRL;][PQRS;][PRUL;][PRUS;][VDBS;][VLA;]
𩴥	~[ZFEU;][ZFEV;]
𩴦	~[MDPU;][MDV;]
𩴧	~[PQRF;][VVF;]
𩴨	~[BHBU;][BHBV;]
𩴩	~[PQRF;][PRUF;][VFFF;]
𩴪	~[WBPU;][WBV;][WWAU;][WWAV;]
𩴫	~[PQRJ;][PQRO;][PRO;][PROJ;][VOJ;][VOOJ;]
𩴬	~[FMBU;][FMBV;][MPQU;][MVA;]
𩴭	~[PQRU;][PRUU;][VEUU;][VEXU;]
𩴮	~[PQRG;][PQRY;][PRUG;][PRUY;][VFY;][VFYG;]
𩴯	~[PQRQ;][PQRZ;][PRUQ;][PRUZ;][VZEQ;][VZN;]
𩴰	~[PQRP;][PRMP;][VMIP;]
𩴱	~[NSMU;][NSMV;]
𩴲	~[RFNU;][RFNV;]
𩴳	~[PQRJ;][PQRS;][PRUJ;][PRUS;][VNJ;][VNJS;]
𩴴	~[PQRY;][PRUY;][VRCY;]
𩴵	~[PQRF;][VRF;][VRVF;]
𩴶	~[PQRR;][PRUR;][VUR;][VUTR;]
𩴷	~[FVDU;][FVDV;]
𩴸	~[PQRB;][PRUB;][VNSB;]
𩴹	~[PQRV;][VEEV;]
𩴺	~[YFMU;][YFMV;][YMPU;][YMV;]
𩴻	~[QQQU;][QQQV;]
𩴼	~[PQRQ;][VQQQ;]
𩴽	~[BKBU;][BKBV;][BKXU;][BKXV;]
𩴾	~[PQRA;][PQRB;][VRFA;][VRFB;]
𩴿	~[GOPU;][GOVV;]
𩵀	~[UOOU;][UOOV;]
𩵁	~[PQRO;][PRUO;][VUOO;]
𩵂	~[UOOU;][UOOV;]
𩵃	~[PQRS;][VWHS;]
𩵄	~[PQRR;][PQRV;][PRUR;][PRUV;][VRE;][VROV;]
𩵅	~[PQRV;][PRUV;][VMMV;]
𩵆	~[PQRB;][VSRB;]
𩵇	~[PQRV;][PRUV;][VFSV;]
𩵈	~[PQRU;][PRUU;][VMMU;]
𩵉	~[PQRP;][VRPP;][VRZP;]
𩵊	~[PQRP;][PRUP;][VREP;][VRTP;][VRZP;]
𩵋	~[UDN;]
𩵌	~[UFW;]
𩵍	~[UFK;]
𩵎	~[UFU;]
𩵏	~[UFF;]
𩵐	~[UFC;][UFF;]
𩵑	~[PUF;]
𩵒	~[UFB;]
𩵓	~[UFD;]
𩵔	~[UFA;]
𩵕	~[UFDA;]
𩵖	~[UFS;]
𩵗	~[UFOL;]
𩵘	~[UFY;]
𩵙	~[UFS;]
𩵚	~[UFY;]
𩵛	~[KUF;]
𩵜	~[UFNI;]
𩵝	~[UFU;]
𩵞	~[UFG;]
𩵟	~[UFG;]
𩵠	~[UFS;]
𩵡	~[UFLP;]
𩵢	~[UFI;]
𩵣	~[UFB;]
𩵤	~[UFRU;]
𩵥	~[UFAD;]
𩵦	~[UFT;]
𩵧	~[UFRR;]
𩵨	~[UFNR;]
𩵩	~[UFQN;]
𩵪	~[UFK;]
𩵫	~[KUF;][NRUF;]
𩵬	~[UFD;]
𩵭	~[UFK;]
𩵮	~[SUF;]
𩵯	~[UFFN;][UFFP;][UFFX;][UFSA;][UFSN;]
𩵰	~[UFF;]
𩵱	~[UFW;]
𩵲	~[UFXX;]
𩵳	~[WUF;]
𩵴	~[TUF;]
𩵵	~[UFC;]
𩵶	~[RRUF;]
𩵷	~[UFEW;]
𩵸	~[UFVR;]
𩵹	~[UFBX;]
𩵺	~[UFU;]
𩵻	~[UFNU;]
𩵼	~[UFXU;]
𩵽	~[UFH;]
𩵾	~[UFJU;]
𩵿	~[UFZK;][UFZW;]
𩶀	~[UFX;][UFY;]
𩶁	~[UFE;][UFEB;][UFTB;]
𩶂	~[UFNT;]
𩶃	~[UFAK;]
𩶄	~[UFAT;]
𩶅	~[UFXE;]
𩶆	~[UFZF;]
𩶇	~[UFVD;]
𩶈	~[UFH;]
𩶉	~[UFXN;]
